run_id	step	avg_max_q
breakout_1656253812_89b07dc8	0	
breakout_1656253812_89b07dc8	3	
breakout_1656253812_89b07dc8	6	
breakout_1656253812_89b07dc8	8	
breakout_1656253812_89b07dc8	11	
breakout_1656253812_89b07dc8	13	
breakout_1656253812_89b07dc8	16	
breakout_1656253812_89b07dc8	18	
breakout_1656253812_89b07dc8	21	
breakout_1656253812_89b07dc8	23	
breakout_1656253812_89b07dc8	26	
breakout_1656253812_89b07dc8	28	
breakout_1656253812_89b07dc8	31	
breakout_1656253812_89b07dc8	33	
breakout_1656253812_89b07dc8	36	
breakout_1656253812_89b07dc8	39	
breakout_1656253812_89b07dc8	41	
breakout_1656253812_89b07dc8	44	
breakout_1656253812_89b07dc8	46	
breakout_1656253812_89b07dc8	49	
breakout_1656253812_89b07dc8	51	
breakout_1656253812_89b07dc8	54	
breakout_1656253812_89b07dc8	56	
breakout_1656253812_89b07dc8	59	
breakout_1656253812_89b07dc8	61	
breakout_1656253812_89b07dc8	64	
breakout_1656253812_89b07dc8	66	
breakout_1656253812_89b07dc8	69	
breakout_1656253812_89b07dc8	72	
breakout_1656253812_89b07dc8	74	
breakout_1656253812_89b07dc8	77	
breakout_1656253812_89b07dc8	79	
breakout_1656253812_89b07dc8	82	
breakout_1656253812_89b07dc8	84	
breakout_1656253812_89b07dc8	87	
breakout_1656253812_89b07dc8	89	
breakout_1656253812_89b07dc8	92	
breakout_1656253812_89b07dc8	94	
breakout_1656253812_89b07dc8	97	1.2949259413613214
breakout_1656253812_89b07dc8	99	1.111474374378169
breakout_1656253812_89b07dc8	102	1.0701397988077712
breakout_1656253812_89b07dc8	105	1.315549862384796
breakout_1656253812_89b07dc8	107	1.6574238061904907
breakout_1656253812_89b07dc8	110	1.16933593395594
breakout_1656253812_89b07dc8	112	1.4187201270035334
breakout_1656253812_89b07dc8	115	1.2655227192810603
breakout_1656253812_89b07dc8	117	1.2020575227560821
breakout_1656253812_89b07dc8	120	1.2421178817749023
breakout_1656253812_89b07dc8	122	1.1854715788116057
breakout_1656253812_89b07dc8	125	1.312922845495508
breakout_1656253812_89b07dc8	127	1.3359749533128047
breakout_1656253812_89b07dc8	130	1.3333970084102875
breakout_1656253812_89b07dc8	132	1.3345190739190136
breakout_1656253812_89b07dc8	135	1.3445191969305783
breakout_1656253812_89b07dc8	138	1.8097148797341756
breakout_1656253812_89b07dc8	140	1.314742796501871
breakout_1656253812_89b07dc8	143	1.299443174025108
breakout_1656253812_89b07dc8	145	1.3389994835569745
breakout_1656253812_89b07dc8	148	1.5476583871576521
breakout_1656253812_89b07dc8	150	1.4457176070464284
breakout_1656253812_89b07dc8	153	1.417410213748614
breakout_1656253812_89b07dc8	155	1.4041814062330458
breakout_1656253812_89b07dc8	158	1.3131950470534237
breakout_1656253812_89b07dc8	160	1.440950223773274
breakout_1656253812_89b07dc8	163	1.4512859176898347
breakout_1656253812_89b07dc8	165	1.479393174441961
breakout_1656253812_89b07dc8	168	1.5680715821791387
breakout_1656253812_89b07dc8	171	1.5836860184938135
breakout_1656253812_89b07dc8	173	1.4749395061230315
breakout_1656253812_89b07dc8	176	1.477668935060501
breakout_1656253812_89b07dc8	178	1.468776488304138
breakout_1656253812_89b07dc8	181	1.7421208976151108
breakout_1656253812_89b07dc8	183	1.5445376422670152
breakout_1656253812_89b07dc8	186	1.6328230957190195
breakout_1656253812_89b07dc8	188	1.551394552465469
breakout_1656253812_89b07dc8	191	1.5262204996744793
breakout_1656253812_89b07dc8	193	1.4700514098345223
breakout_1656253812_89b07dc8	196	1.5402748307043856
breakout_1656253812_89b07dc8	198	1.615357981331047
breakout_1656253812_89b07dc8	201	1.5412104995019975
breakout_1656253812_89b07dc8	204	1.702393325599464
breakout_1656253812_89b07dc8	206	1.4817428249065008
breakout_1656253812_89b07dc8	209	1.4551632283698945
breakout_1656253812_89b07dc8	211	1.642013656509506
breakout_1656253812_89b07dc8	214	1.5024349121160285
breakout_1656253812_89b07dc8	216	1.5172605724246413
breakout_1656253812_89b07dc8	219	1.6239094900530437
breakout_1656253812_89b07dc8	221	1.6263819639233574
breakout_1656253812_89b07dc8	224	1.6025530417760214
breakout_1656253812_89b07dc8	226	1.5136655386131588
breakout_1656253812_89b07dc8	229	1.6320224076509475
breakout_1656253812_89b07dc8	231	1.7029100351390385
breakout_1656253812_89b07dc8	234	1.6993814132831715
breakout_1656253812_89b07dc8	237	1.6612636506557465
breakout_1656253812_89b07dc8	239	1.5746802422735426
breakout_1656253812_89b07dc8	242	1.5586938279516556
breakout_1656253812_89b07dc8	244	1.5285734190660365
breakout_1656253812_89b07dc8	247	1.5691526189763496
breakout_1656253812_89b07dc8	249	1.6675148556629817
breakout_1656253812_89b07dc8	252	1.5614360121648703
breakout_1656253812_89b07dc8	254	1.6673467530923731
breakout_1656253812_89b07dc8	257	1.6281744227522896
breakout_1656253812_89b07dc8	259	1.6671819153954002
breakout_1656253812_89b07dc8	262	1.6067675328722186
breakout_1656253812_89b07dc8	264	1.7352917117950244
breakout_1656253812_89b07dc8	267	1.5680962613335363
breakout_1656253812_89b07dc8	270	1.6633568202392965
breakout_1656253812_89b07dc8	272	1.6390804985784135
breakout_1656253812_89b07dc8	275	1.694657957324615
breakout_1656253812_89b07dc8	277	1.6448729671537876
breakout_1656253812_89b07dc8	280	1.6267792982597873
breakout_1656253812_89b07dc8	282	1.6480689937608284
breakout_1656253812_89b07dc8	285	1.758549036582311
breakout_1656253812_89b07dc8	287	1.6693454644259285
breakout_1656253812_89b07dc8	290	1.6480484715442068
breakout_1656253812_89b07dc8	292	1.7080160795517687
breakout_1656253812_89b07dc8	295	1.6034786587669736
breakout_1656253812_89b07dc8	297	1.655398364365101
breakout_1656253812_89b07dc8	300	1.5864599425541728
breakout_1656253812_89b07dc8	303	1.5424613094329833
breakout_1656253812_89b07dc8	305	1.6264567547533886
breakout_1656253812_89b07dc8	308	1.7901731608789178
breakout_1656253812_89b07dc8	310	1.7045900507977134
breakout_1656253812_89b07dc8	313	1.6351798145060843
breakout_1656253812_89b07dc8	315	1.699649809754413
breakout_1656253812_89b07dc8	318	1.7328060289357332
breakout_1656253812_89b07dc8	320	1.8256176741092236
breakout_1656253812_89b07dc8	323	1.699385872909001
breakout_1656253812_89b07dc8	325	1.720600222165768
breakout_1656253812_89b07dc8	328	1.684066326587231
breakout_1656253812_89b07dc8	330	1.7160917099784403
breakout_1656253812_89b07dc8	333	1.753603826595258
breakout_1656253812_89b07dc8	336	1.7290307195098311
breakout_1656253812_89b07dc8	338	1.748745608329773
breakout_1656253812_89b07dc8	341	1.708965195780215
breakout_1656253812_89b07dc8	343	1.764644109575372
breakout_1656253812_89b07dc8	346	1.8023293437781158
breakout_1656253812_89b07dc8	348	1.713505795744599
breakout_1656253812_89b07dc8	351	1.6668479879697164
breakout_1656253812_89b07dc8	353	1.6663724322249924
breakout_1656253812_89b07dc8	356	1.7229378003518558
breakout_1656253812_89b07dc8	358	1.7932573777657967
breakout_1656253812_89b07dc8	361	1.7466778909887066
breakout_1656253812_89b07dc8	363	1.7299287722224281
breakout_1656253812_89b07dc8	366	1.9174642907945734
breakout_1656253812_89b07dc8	369	2.097844561508724
breakout_1656253812_89b07dc8	371	1.9406648234623234
breakout_1656253812_89b07dc8	374	2.0585176279670314
breakout_1656253812_89b07dc8	376	1.9650313229787917
breakout_1656253812_89b07dc8	379	2.015750636225161
breakout_1656253812_89b07dc8	381	1.8824464466379978
breakout_1656253812_89b07dc8	384	1.8412589202908909
breakout_1656253812_89b07dc8	386	1.8899053802490235
breakout_1656253812_89b07dc8	389	1.9361827632655269
breakout_1656253812_89b07dc8	391	2.0207617258032164
breakout_1656253812_89b07dc8	394	1.8894038610458375
breakout_1656253812_89b07dc8	396	1.9234239610758694
breakout_1656253812_89b07dc8	399	1.9166847761939554
breakout_1656253812_89b07dc8	402	1.9828066495157057
breakout_1656253812_89b07dc8	404	2.0430749912519715
breakout_1656253812_89b07dc8	407	1.9999781907615015
breakout_1656253812_89b07dc8	409	1.8338322891315944
breakout_1656253812_89b07dc8	412	1.8551688930567574
breakout_1656253812_89b07dc8	414	1.860227204440685
breakout_1656253812_89b07dc8	417	1.9224981123343445
breakout_1656253812_89b07dc8	419	1.837243321094107
breakout_1656253812_89b07dc8	422	1.9642153260219528
breakout_1656253812_89b07dc8	424	1.9475219324231148
breakout_1656253812_89b07dc8	427	1.9000574611780936
breakout_1656253812_89b07dc8	429	1.9087082804113193
breakout_1656253812_89b07dc8	432	1.8336474803777842
breakout_1656253812_89b07dc8	434	1.9046309176865999
breakout_1656253812_89b07dc8	437	1.9451471968130631
breakout_1656253812_89b07dc8	440	1.8879281979926088
breakout_1656253812_89b07dc8	442	1.919242920595057
breakout_1656253812_89b07dc8	445	1.8086451530456542
breakout_1656253812_89b07dc8	447	1.8663566329262473
breakout_1656253812_89b07dc8	450	1.8579850913956761
breakout_1656253812_89b07dc8	452	1.9067790706952412
breakout_1656253812_89b07dc8	455	1.839201860494547
breakout_1656253812_89b07dc8	457	1.9549687453258184
breakout_1656253812_89b07dc8	460	1.8962668190922654
breakout_1656253812_89b07dc8	462	1.9321519149247037
breakout_1656253812_89b07dc8	465	1.819420165306813
breakout_1656253812_89b07dc8	467	1.9093268887201944
breakout_1656253812_89b07dc8	470	1.9394592080797468
breakout_1656253812_89b07dc8	473	1.8645897717089266
breakout_1656253812_89b07dc8	475	1.9873937115205074
breakout_1656253812_89b07dc8	478	1.9256509571306166
breakout_1656253812_89b07dc8	480	1.9221368524763318
breakout_1656253812_89b07dc8	483	1.8752918583016063
breakout_1656253812_89b07dc8	485	1.9185821624029251
breakout_1656253812_89b07dc8	488	1.8396391386077517
breakout_1656253812_89b07dc8	490	1.898843409346162
breakout_1656253812_89b07dc8	493	1.9406536070779823
breakout_1656253812_89b07dc8	495	1.9200807564879117
breakout_1656253812_89b07dc8	498	1.9145473837852478
breakout_1656253812_89b07dc8	500	1.8684207816486773
breakout_1656253812_89b07dc8	503	1.9183076610330676
breakout_1656253812_89b07dc8	506	1.951759586500567
breakout_1656253812_89b07dc8	508	1.881379776661939
breakout_1656253812_89b07dc8	511	1.8251643193529008
breakout_1656253812_89b07dc8	513	1.8444625562872767
breakout_1656253812_89b07dc8	516	1.8456854224205017
breakout_1656253812_89b07dc8	518	1.8454610214957707
breakout_1656253812_89b07dc8	521	1.901944202700938
breakout_1656253812_89b07dc8	523	1.9169379080398172
breakout_1656253812_89b07dc8	526	1.8562603406906129
breakout_1656253812_89b07dc8	528	1.9357064031973117
breakout_1656253812_89b07dc8	531	1.9113370859918515
breakout_1656253812_89b07dc8	533	1.8959990528565418
breakout_1656253812_89b07dc8	536	1.9100911723505152
breakout_1656253812_89b07dc8	539	1.9563428681829702
breakout_1656253812_89b07dc8	541	1.83648379445076
breakout_1656253812_89b07dc8	544	1.8748157295313748
breakout_1656253812_89b07dc8	546	1.9568189372276437
breakout_1656253812_89b07dc8	549	1.9318482065200806
breakout_1656253812_89b07dc8	551	1.8710432232372345
breakout_1656253812_89b07dc8	554	1.950516504900796
breakout_1656253812_89b07dc8	556	1.9525080873852685
breakout_1656253812_89b07dc8	559	1.952658444359189
breakout_1656253812_89b07dc8	561	1.9180749298921271
breakout_1656253812_89b07dc8	564	1.8995436610077783
breakout_1656253812_89b07dc8	566	1.929502981049674
breakout_1656253812_89b07dc8	569	1.9324819644292195
breakout_1656253812_89b07dc8	572	1.9734758183076404
breakout_1656253812_89b07dc8	574	2.1598094245533885
breakout_1656253812_89b07dc8	577	2.1201691774354465
breakout_1656253812_89b07dc8	579	2.0878502967509815
breakout_1656253812_89b07dc8	582	2.0488285940837083
breakout_1656253812_89b07dc8	584	2.1299634220894803
breakout_1656253812_89b07dc8	587	2.0820756338644717
breakout_1656253812_89b07dc8	589	2.056228768727011
breakout_1656253812_89b07dc8	592	2.028245227133974
breakout_1656253812_89b07dc8	594	2.05401917229528
breakout_1656253812_89b07dc8	597	2.028207418080923
breakout_1656253812_89b07dc8	599	2.0310991558535347
breakout_1656253812_89b07dc8	602	2.1137993139763402
breakout_1656253812_89b07dc8	605	2.126841653294924
breakout_1656253812_89b07dc8	607	2.196702060699463
breakout_1656253812_89b07dc8	610	2.170728820912978
breakout_1656253812_89b07dc8	612	2.1316803721931037
breakout_1656253812_89b07dc8	615	2.137991722424825
breakout_1656253812_89b07dc8	617	2.1318968334117856
breakout_1656253812_89b07dc8	620	2.068349349859989
breakout_1656253812_89b07dc8	622	2.170212774663358
breakout_1656253812_89b07dc8	625	2.0818288809769636
breakout_1656253812_89b07dc8	627	2.0527105371968277
breakout_1656253812_89b07dc8	630	1.9983204292214436
breakout_1656253812_89b07dc8	632	2.202581835644586
breakout_1656253812_89b07dc8	635	2.170774387276691
breakout_1656253812_89b07dc8	638	2.242741957306862
breakout_1656253812_89b07dc8	640	2.060157424873776
breakout_1656253812_89b07dc8	643	2.0955163715407252
breakout_1656253812_89b07dc8	645	2.1510476638873417
breakout_1656253812_89b07dc8	648	2.077356193346136
breakout_1656253812_89b07dc8	650	1.9655009426853873
breakout_1656253812_89b07dc8	653	2.0530405698752983
breakout_1656253812_89b07dc8	655	2.1017883528703414
breakout_1656253812_89b07dc8	658	2.2653504428409397
breakout_1656253812_89b07dc8	660	2.1988755484589007
breakout_1656253812_89b07dc8	663	2.136443144566304
breakout_1656253812_89b07dc8	665	2.056312314579996
breakout_1656253812_89b07dc8	668	2.0612090045497533
breakout_1656253812_89b07dc8	671	2.064547317582856
breakout_1656253812_89b07dc8	673	2.056625325926419
breakout_1656253812_89b07dc8	676	2.0907782468580662
breakout_1656253812_89b07dc8	678	2.033225551843643
breakout_1656253812_89b07dc8	681	2.074841177669065
breakout_1656253812_89b07dc8	683	2.0997127229120673
breakout_1656253812_89b07dc8	686	2.1598906508750386
breakout_1656253812_89b07dc8	688	2.0912325933294476
breakout_1656253812_89b07dc8	691	2.141030305351307
breakout_1656253812_89b07dc8	693	2.127338956813423
breakout_1656253812_89b07dc8	696	2.0763261863608764
breakout_1656253812_89b07dc8	698	2.153183957676829
breakout_1656253812_89b07dc8	701	2.0914461431295974
breakout_1656253812_89b07dc8	704	2.140412159588026
breakout_1656253812_89b07dc8	706	2.1072042419249755
breakout_1656253812_89b07dc8	709	2.1038690760450542
breakout_1656253812_89b07dc8	711	2.16239257914121
breakout_1656253812_89b07dc8	714	2.1079076568285626
breakout_1656253812_89b07dc8	716	2.1393541661898294
breakout_1656253812_89b07dc8	719	2.057205105911602
breakout_1656253812_89b07dc8	721	2.1904035940766335
breakout_1656253812_89b07dc8	724	2.0624380209674573
breakout_1656253812_89b07dc8	726	2.182314772158861
breakout_1656253812_89b07dc8	729	2.1484350366378897
breakout_1656253812_89b07dc8	731	2.1352110573878655
breakout_1656253812_89b07dc8	734	2.224952184825862
breakout_1656253812_89b07dc8	737	2.0629316147031456
breakout_1656253812_89b07dc8	739	2.141882072176252
breakout_1656253812_89b07dc8	742	2.1729411922395228
breakout_1656253812_89b07dc8	744	2.1156803408821863
breakout_1656253812_89b07dc8	747	2.118269031047821
breakout_1656253812_89b07dc8	749	2.1681360043977436
breakout_1656253812_89b07dc8	752	2.151905203859011
breakout_1656253812_89b07dc8	754	2.195905154638917
breakout_1656253812_89b07dc8	757	2.253393385861371
breakout_1656253812_89b07dc8	759	2.049245162886016
breakout_1656253812_89b07dc8	762	2.1297682769158306
breakout_1656253812_89b07dc8	764	2.1116692353697384
breakout_1656253812_89b07dc8	767	2.126184424308881
breakout_1656253812_89b07dc8	770	2.2914703400046736
breakout_1656253812_89b07dc8	772	2.2171277112430996
breakout_1656253812_89b07dc8	775	2.1807399347793957
breakout_1656253812_89b07dc8	777	2.2103510737419128
breakout_1656253812_89b07dc8	780	2.203365050336366
breakout_1656253812_89b07dc8	782	2.2813171300672948
breakout_1656253812_89b07dc8	785	2.1289182000043914
breakout_1656253812_89b07dc8	787	2.181611400641752
breakout_1656253812_89b07dc8	790	2.2457250124878354
breakout_1656253812_89b07dc8	792	2.1168452883944098
breakout_1656253812_89b07dc8	795	2.1477193581430534
breakout_1656253812_89b07dc8	797	2.2355593345381997
breakout_1656253812_89b07dc8	800	2.103653376878694
breakout_1656253812_89b07dc8	803	2.2379615757916427
breakout_1656253812_89b07dc8	805	2.0816502386285354
breakout_1656253812_89b07dc8	808	2.146354094843998
breakout_1656253812_89b07dc8	810	2.2944432526826857
breakout_1656253812_89b07dc8	813	2.2536211407409525
breakout_1656253812_89b07dc8	815	2.1902376703484348
breakout_1656253812_89b07dc8	818	2.1949469435214994
breakout_1656253812_89b07dc8	820	2.171638244142135
breakout_1656253812_89b07dc8	823	2.2614967340833685
breakout_1656253812_89b07dc8	825	2.4135662766925075
breakout_1656253812_89b07dc8	828	2.2811061765208387
breakout_1656253812_89b07dc8	830	2.137503504753113
breakout_1656253812_89b07dc8	833	2.32311927255734
breakout_1656253812_89b07dc8	836	2.1487900573913365
breakout_1656253812_89b07dc8	838	2.2113986685256326
breakout_1656253812_89b07dc8	841	2.2564067336229177
breakout_1656253812_89b07dc8	843	2.196121339528066
breakout_1656253812_89b07dc8	846	2.26043323647808
breakout_1656253812_89b07dc8	848	2.2161552140587255
breakout_1656253812_89b07dc8	851	2.1926748037338255
breakout_1656253812_89b07dc8	853	2.2611692743301393
breakout_1656253812_89b07dc8	856	2.31659722839083
breakout_1656253812_89b07dc8	858	2.354922090366388
breakout_1656253812_89b07dc8	861	2.3209827645071623
breakout_1656253812_89b07dc8	863	2.208328349874654
breakout_1656253812_89b07dc8	866	2.202663866859494
breakout_1656253812_89b07dc8	868	2.213820586476145
breakout_1656253812_89b07dc8	871	2.113622175413987
breakout_1656253812_89b07dc8	874	2.2128682697056146
